Player,2021/2022,2020/2021,2019/2020,2018/2019
Bernd Leno,Arsenal, Arsenal, Arsenal, Arsenal
Arthur Okonkwo,Arsenal, Arsenal,,
Aaron Ramsdale,Arsenal, Sheffield United, AFC Bournemouth, AFC Bournemouth
Kieran Tierney,Arsenal, Arsenal, Arsenal,
Gabriel Magalhães,Arsenal, Arsenal,,
Rob Holding,Arsenal, Arsenal, Arsenal, Arsenal
Cédric Soares,Arsenal, Arsenal, Arsenal  (Loan) , Southampton
Nuno Tavares,Arsenal,,,
Benjamin White,Arsenal, Brighton and Hove Albion, Leeds United  (Loan) , Brighton and Hove Albion
Takehiro Tomiyasu,Arsenal,,,
Zach Awe,Arsenal,,,
Zak Swanson,Arsenal,,,
Mazeed Ogungbo,Arsenal,,,
Bukayo Saka,Arsenal, Arsenal, Arsenal, Arsenal
Thomas Partey,Arsenal, Arsenal,,
Mohamed Elneny,Arsenal, Arsenal, Arsenal, Arsenal
Emile Smith Rowe,Arsenal, Arsenal, Arsenal, Arsenal
Granit Xhaka,Arsenal, Arsenal, Arsenal, Arsenal
Albert Sambi Lokonga,Arsenal,,,
Martin Ødegaard,Arsenal, Arsenal  (Loan) , Arsenal  (Loan) ,
Salah-Eddine Oulad M'hand,Arsenal,,,
Charlie Patino,Arsenal,,,
Omari Hutchinson,Arsenal, Arsenal U21,,
Marcelo Flores,Arsenal,,,
Alexandre Lacazette,Arsenal, Arsenal, Arsenal, Arsenal
Nicolas Pépé,Arsenal, Arsenal, Arsenal,
Eddie Nketiah,Arsenal, Arsenal, Arsenal, Arsenal
Gabriel Martinelli,Arsenal, Arsenal, Arsenal,
Mika Biereth,Arsenal,,,
Emiliano Martínez,Aston Villa, Aston Villa, Arsenal, Arsenal
Viljami Sinisalo,Aston Villa,,,
Robin Olsen,Aston Villa  (Loan) , Everton  (Loan) , Everton  (Loan) ,
Matthew Cash,Aston Villa, Aston Villa,,
Ezri Konsa,Aston Villa, Aston Villa, Aston Villa,
Tyrone Mings,Aston Villa, Aston Villa, Aston Villa, Aston Villa  (Loan) 
Kortney Hause,Aston Villa, Aston Villa, Aston Villa, Aston Villa  (Loan) 
Ashley Young,Aston Villa, Manchester United, Manchester United, Manchester United
Sil Swinkels,Aston Villa, Aston Villa U21, Aston Villa U21,
Lucas Digne,Aston Villa, Everton, Everton, Everton
Calum Chambers,Aston Villa, Arsenal, Arsenal, Arsenal
Douglas Luiz,Aston Villa, Aston Villa, Aston Villa, Manchester City
John McGinn,Aston Villa, Aston Villa, Aston Villa,
Marvelous Nakamba,Aston Villa, Aston Villa, Aston Villa,
Morgan Sanson,Aston Villa, Aston Villa,,
Jacob Ramsey,Aston Villa, Aston Villa, Aston Villa, Aston Villa
Emiliano Buendía,Aston Villa, Norwich City, Norwich City,
Carney Chukwuemeka,Aston Villa, Aston Villa, Aston Villa,
Lamare Bogarde,Aston Villa, Aston Villa U21, Aston Villa U21,
Hayden Lindley,Aston Villa U21, Aston Villa, Aston Villa U21,
Tim Iroegbunam,Aston Villa, West Bromwich Albion,,
Josh Feeney,Aston Villa,,,
Philippe Coutinho,Aston Villa  (Loan) , Liverpool, Liverpool, Liverpool
Benjamin Chrisene,Aston Villa, Aston Villa U21, Aston Villa U21,
Tommi O'Reilly,Aston Villa,,,
Ollie Watkins,Aston Villa, Aston Villa,,
Bertrand Traoré,Aston Villa, Aston Villa, Chelsea, Chelsea
Leon Bailey,Aston Villa,,,
Danny Ings,Aston Villa, Southampton, Southampton, Southampton  (Loan) 
David Raya,Brentford,,,
Álvaro Fernández,Brentford,,,
Matthew Cox,Brentford,,,
Patrik Gunnarsson,Brentford, Brentford,,
Jonas Lössl,Brentford  (Loan) , Everton, Everton  (Loan) , Everton
Rico Henry,Brentford,,,
Ethan Pinnock,Brentford,,,
Pontus Jansson,Brentford,,,
Mads Bech Sørensen,Brentford,,,
Mads Roerslev,Brentford,,,
Julian Jeanvier,Brentford,,,
Finley Stevens,Brentford, Brentford,,
Lewis Gordon,Brentford, Brentford,,
Kristoffer Ajer,Brentford, Brentford,,
Zanka,Brentford, Huddersfield Town, Huddersfield Town,
Daniel Oyegoke,Brentford, Arsenal,,
Christian Nørgaard,Brentford,,,
Mathias Jensen,Brentford,,,
Josh Dasilva,Brentford, Arsenal, Arsenal, Arsenal
Bryan Mbeumo,Brentford,,,
Tariqe Fosu-Henry,Brentford,,,
Shandon Baptiste,Brentford,,,
Vitaly Janelt,Brentford,,,
Maxwell Haygarth,Brentford, Brentford,,
Frank Onyeka,Brentford, Brentford,,
Myles Peart-Harris,Brentford, Brentford, Chelsea,
Yoane Wissa,Brentford,,,
Paris Maghoma,Brentford, Brentford, Tottenham Hotspur U21,
Christian Eriksen,Brentford, Tottenham Hotspur, Tottenham Hotspur, Tottenham Hotspur
Sergi Canós,Brentford, Liverpool, Liverpool,
Ivan Toney,Brentford, Newcastle United,,
Saman Ghoddos,Brentford,,,
Nathan Young-Coombes,Brentford,,,
Jason Steele,Brighton and Hove Albion, Brighton & Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion
Robert Sánchez,Brighton and Hove Albion, Brighton and Hove Albion, Brighton & Hove Albion, Brighton & Hove Albion
Thomas McGill,Brighton and Hove Albion, Brighton & Hove Albion, Brighton & Hove Albion,
Kjell Scherpen,Brighton and Hove Albion, Brighton and Hove Albion,,
Tariq Lamptey,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion, Chelsea U21
Adam Webster,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion,
Lewis Dunk,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion
Joël Veltman,Brighton and Hove Albion, Brighton and Hove Albion,,
Shane Duffy,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion
Haydon Roberts,Brighton and Hove Albion, Brighton and Hove Albion, Brighton & Hove Albion, Brighton & Hove Albion
James Furlong,Brighton & Hove Albion,,,
Odeluga Offiah,Brighton & Hove Albion,,,
Antef Tsoungui,Brighton & Hove Albion,,,
Marc Cucurella,Brighton and Hove Albion,,,
Tudor Baluta,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion  (Loan) , Brighton and Hove Albion  (Loan) 
Ed Turns,Brighton and Hove Albion,,,
Lars Dendoncker,Brighton and Hove Albion, Brighton & Hove Albion, Brighton & Hove Albion,
Yves Bissouma,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion
Alexis Mac Allister,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion
Pascal Groß,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion
Adam Lallana,Brighton and Hove Albion, Brighton and Hove Albion, Liverpool, Liverpool
Jakub Moder,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion,
Steven Alzate,Brighton and Hove Albion, Brighton and Hove Albion, Leyton Orient,
Solly March,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion
Enock Mwepu,Brighton and Hove Albion,,,
Marc Leonard,Brighton & Hove Albion,,,
Andrew Moran,Brighton & Hove Albion,,,
Moisés Caicedo,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion,
Neal Maupay,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion,
Leandro Trossard,Brighton and Hove Albion, Brighton and Hove Albion, Brighton and Hove Albion,
Danny Welbeck,Brighton and Hove Albion, Brighton and Hove Albion, Watford, Arsenal
Evan Ferguson,Brighton & Hove Albion,,,
Jeremy Sarmiento,Brighton and Hove Albion,,,
Nick Pope,Burnley, Burnley, Burnley, Burnley
Will Norris,Burnley, Burnley, Wolverhampton Wanderers, Wolverhampton Wanderers
Wayne Hennessey,Burnley, Crystal Palace, Crystal Palace, Crystal Palace
Sam Waller,Burnley,,,
Matthew Lowton,Burnley, Burnley, Burnley, Burnley
Charlie Taylor,Burnley, Burnley, Burnley, Burnley
James Tarkowski,Burnley, Burnley, Burnley, Burnley
Ben Mee,Burnley, Burnley, Burnley, Burnley
Erik Pieters,Burnley, Burnley, Burnley, Stoke City
Phil Bardsley,Burnley, Burnley, Burnley, Burnley
Kevin Long,Burnley, Burnley, Burnley, Burnley
Nathan Collins,Burnley,,,
Bobby Thomas,Burnley, Burnley, Burnley, Burnley
Owen Dodgson,Burnley,,,
Connor Roberts,Burnley, Swansea City, Swansea City,
Jack Cork,Burnley, Burnley, Burnley, Burnley
Jóhann Gudmundsson,Burnley, Burnley, Burnley, Burnley
Josh Brownhill,Burnley, Burnley, Burnley,
Dwight McNeil,Burnley, Burnley, Burnley, Burnley
Dale Stephens,Burnley, Burnley, Brighton and Hove Albion, Brighton and Hove Albion
Ashley Westwood,Burnley, Burnley, Burnley, Burnley
Lewis Richardson,Burnley, Burnley, Burnley, Burnley
Aaron Lennon,Burnley, Burnley, Burnley, Burnley
Maxwel Cornet,Burnley,,,
Mark Helm,Burnley,,,
Ashley Barnes,Burnley, Burnley, Burnley, Burnley
Jay Rodriguez,Burnley, Burnley, Burnley, West Bromwich Albion
Matej Vydra,Burnley, Burnley, Burnley, Burnley
Joseph McGlynn,Burnley U18,,,
Wout Weghorst,Burnley,,,
Kepa Arrizabalaga,Chelsea, Chelsea, Chelsea, Chelsea
Édouard Mendy,Chelsea, Chelsea,,
Marcus Bettinelli,Chelsea, Fulham, Fulham, Fulham
Lucas Bergström,Chelsea, Chelsea,,
Teddy Sharman-Lowe,Chelsea,,,
Antonio Rüdiger,Chelsea, Chelsea, Chelsea, Chelsea
Marcos Alonso,Chelsea, Chelsea, Chelsea, Chelsea
Andreas Christensen,Chelsea, Chelsea, Chelsea, Chelsea
Thiago Silva,Chelsea, Chelsea,,
